LLM,Task,Technique,Filename,Compiles,Runs,Output
gpt4,multiplication,prompting,sample2.cpp,YES,YES,"Result of encrypted multiplication: 4.4 11 19.8 1.56953e-10 -1.84707e-10 8.51453e-11 4.72321e-10 -1.5105e-09 9.54838e-10"
gpt4,multiplication,prompting,sample3.cpp,YES,YES," Decrypted result: 4.8 "
gpt4,multiplication,prompting,sample4.cpp,YES,YES,"Result of CKKS multiplication: 10 "
gpt4,multiplication,prompting,sample5.cpp,YES,YES,"Result: 6 "
gpt4,multiplication,rag,sample1.cpp,YES,YES,"Encrypted element-wise multiplication result (approximate): 0.55 2.2 4.95 8.8 -1.06955e-09 -2.20948e-10 -3.08529e-09 -1."
gpt4,multiplication,rag,sample2.cpp,YES,YES,"Element-wise multiplication (encrypted • plaintext): 3 1 2.5 4.5 2.62705e-10 2.5362e-11 1.92135e-10 2.61113e-10 -6.40993"
gpt4,multiplication,rag,sample3.cpp,YES,NO,"libc++abi: terminating due to uncaught exception of type std::invalid_argument: encrypted and plain parameter mismatch"
gpt4,multiplication,rag,sample4.cpp,YES,YES,"Input squared (element-wise): 1 4 9 16 1.00064e-09 -1.27173e-10 2.62873e-10 1.63166e-10 7.58323e-10 -2.53022e-11 1.41462"
gpt4,multiplication,rag,sample5.cpp,YES,YES,"(v * v) + rotated(v * v): 5 13 25 16 8.21273e-09 9.96857e-10 1.47784e-09 -3.22975e-09 -9.95907e-09 -7.21706e-09 -1.6361e"
gpt4,multiplication,self_improvement,sample1.cpp,YES,YES,"Decrypted result (approx): 31.46 50.82 54.45 38.72 -1.85347e-16 1.1868e-16 6.07652e-17 -2.35387e-16 1.72101e-16 -2.13818"
gpt4,multiplication,self_improvement,sample2.cpp,YES,YES,"Decrypted result (approx): 6.05 14.52 25.41 38.72 -9.8013e-17 5.60234e-17 -1.05496e-16 -1.94558e-16 3.59735e-17 -1.36942"
gpt4,multiplication,self_improvement,sample3.cpp,YES,YES,"Decrypted result (approx): 6.05 14.52 25.41 38.72 -7.9041e-11 -1.1266e-12 -2.885e-13 -2.63365e-11 4.7706e-11 -3.91367e-1"
gpt4,multiplication,self_improvement,sample4.cpp,YES,NO,"libc++abi: terminating due to uncaught exception of type std::invalid_argument: scale mismatch"
gpt4,multiplication,self_improvement,sample5.cpp,YES,YES,"Decrypted result (approx): 6.05 14.52 25.41 38.72 4.704e-11 7.09079e-10 2.11632e-10 -9.59044e-10 8.98529e-10 8.11626e-10"
